
209  03:00:03 up 22:15,  0 users,  load average: 0.50, 0.23, 0.09
205  03:15:02 up 22:32,  0 users,  load average: 0.00, 0.00, 0.00
214  03:30:03 up 22:44,  0 users,  load average: 0.00, 0.00, 0.01
210 218  04:00:03 up 23:12,  0 users,  load average: 0.06, 0.02, 0.00
203  04:15:03 up 23:32,  0 users,  load average: 0.00, 0.00, 0.00
202  04:30:03 up 23:48,  0 users,  load average: 0.43, 0.34, 0.21
215  04:45:13 up 23:58,  0 users,  load average: 0.00, 0.00, 0.01
224  05:00:12 up 1 day, 10 min,  2 users,  load average: 0.06, 0.07, 0.07
213  05:15:13 up 1 day, 29 min,  0 users,  load average: 0.01, 0.03, 0.00
202  05:30:13 up 1 day, 48 min,  0 users,  load average: 0.03, 0.05, 0.01
223  05:45:13 up 1 day, 56 min,  0 users,  load average: 0.00, 0.00, 0.00
224  06:00:03 up 1 day,  1:10,  2 users,  load average: 0.23, 0.15, 0.09
226  06:15:13 up 1 day,  1:25,  0 users,  load average: 0.01, 0.08, 0.07
211  06:30:12 up 1 day,  1:45,  0 users,  load average: 0.00, 0.02, 0.03
226  06:45:12 up 1 day,  1:55,  0 users,  load average: 0.00, 0.00, 0.00
201  07:00:02 up 1 day,  2:19,  0 users,  load average: 0.00, 0.00, 0.00
222  07:15:13 up 1 day,  2:26,  0 users,  load average: 0.28, 0.14, 0.07
215  07:30:13 up 1 day,  2:43,  1 user,  load average: 0.01, 0.05, 0.06
208  07:45:13 up 1 day,  3:01,  0 users,  load average: 0.00, 0.00, 0.00
202  08:00:02 up 1 day,  3:18,  0 users,  load average: 0.00, 0.00, 0.00
222  08:15:03 up 1 day,  3:26,  0 users,  load average: 0.00, 0.00, 0.00
222  08:30:13 up 1 day,  3:41,  0 users,  load average: 0.00, 0.00, 0.00
208  08:45:12 up 1 day,  4:01,  0 users,  load average: 0.13, 0.19, 0.10
215  09:00:12 up 1 day,  4:13,  0 users,  load average: 0.00, 0.00, 0.03
231  09:15:12 up 1 day,  4:22,  0 users,  load average: 0.00, 0.00, 0.00
212  09:30:12 up 1 day,  4:44,  0 users,  load average: 0.01, 0.04, 0.01
206  09:45:02 up 1 day,  5:01,  0 users,  load average: 0.00, 0.04, 0.04
225  10:00:03 up 1 day,  5:10,  1 user,  load average: 0.41, 0.09, 0.03
217  10:15:13 up 1 day,  5:28,  3 users,  load average: 0.00, 0.00, 0.00
229  10:30:13 up 1 day,  5:39,  1 user,  load average: 0.00, 0.00, 0.00
225  10:45:13 up 1 day,  5:55,  1 user,  load average: 0.03, 0.05, 0.02
218  11:00:03 up 1 day,  6:12,  0 users,  load average: 0.00, 0.02, 0.00
236  11:15:02 up 43 days,  4:15,  2 users,  load average: 0.06, 0.03, 0.00
232  11:30:13 up 1 day,  6:38,  1 user,  load average: 0.35, 0.26, 0.11
225  11:45:12 up 1 day,  6:55,  2 users,  load average: 0.02, 0.01, 0.00
235  12:00:03 up 1 day,  7:06,  1 user,  load average: 0.00, 0.01, 0.00
236  12:15:12 up 43 days,  5:15,  2 users,  load average: 0.00, 0.00, 0.00
217  12:30:13 up 1 day,  7:43,  4 users,  load average: 0.00, 0.00, 0.00
235  12:45:02 up 1 day,  7:51,  2 users,  load average: 0.00, 0.00, 0.00
207  13:00:03 up 1 day,  8:16,  7 users,  load average: 0.00, 0.00, 0.03
205  13:15:02 up 1 day,  8:32,  3 users,  load average: 0.00, 0.00, 0.00
213  13:30:02 up 1 day,  8:44,  5 users,  load average: 1.00, 1.00, 1.00
232  13:45:03 up 1 day,  8:52,  1 user,  load average: 0.09, 0.04, 0.01
228  14:00:03 up 1 day,  9:09,  2 users,  load average: 0.15, 0.03, 0.01
214  14:15:02 up 1 day,  9:29,  3 users,  load average: 0.00, 0.07, 0.06
205  14:30:02 up 1 day,  9:47,  1 user,  load average: 0.00, 0.00, 0.00
233  14:45:12 up 1 day,  9:52,  3 users,  load average: 0.00, 0.04, 0.06
229  15:00:02 up 1 day, 10:08,  3 users,  load average: 1.00, 0.83, 0.43
218  15:15:03 up 1 day, 10:27,  5 users,  load average: 0.01, 0.05, 0.01
213  15:30:02 up 1 day, 10:44,  6 users,  load average: 1.29, 1.12, 1.03
229  15:45:02 up 1 day, 10:53,  5 users,  load average: 1.00, 1.01, 0.96
217  16:00:03 up 1 day, 11:12,  4 users,  load average: 0.02, 0.03, 0.02
226  16:15:02 up 1 day, 11:25,  3 users,  load average: 0.00, 0.01, 0.00
218  16:30:02 up 1 day, 11:42,  6 users,  load average: 0.01, 0.03, 0.00
221  16:45:03 up 1 day, 11:56, 14 users,  load average: 1.00, 1.00, 1.00
212  17:00:02 up 1 day, 12:14,  0 users,  load average: 0.15, 0.22, 0.12
215  17:15:13 up 1 day, 12:28,  6 users,  load average: 0.08, 0.08, 0.05
228  17:30:03 up 1 day, 12:39,  4 users,  load average: 0.02, 0.01, 0.00
213  17:45:02 up 1 day, 12:59,  3 users,  load average: 1.00, 1.00, 1.00
217  18:00:02 up 1 day, 13:12,  2 users,  load average: 0.00, 0.00, 0.00
212  18:15:02 up 1 day, 13:29,  0 users,  load average: 0.00, 0.00, 0.00
210 218  18:45:03 up 1 day, 13:57,  5 users,  load average: 0.03, 0.05, 0.05
229  19:00:02 up 1 day, 14:08,  5 users,  load average: 1.01, 1.01, 1.00
234  19:15:12 up 1 day, 14:22,  3 users,  load average: 0.00, 0.01, 0.00
213  19:30:03 up 1 day, 14:44,  1 user,  load average: 1.00, 1.00, 1.00
230  19:45:02 up 1 day, 14:53,  6 users,  load average: 0.26, 0.10, 0.02
211  20:00:02 up 1 day, 15:15,  1 user,  load average: 0.00, 0.00, 0.01
228  20:15:02 up 1 day, 15:24,  2 users,  load average: 0.00, 0.00, 0.00
218  20:30:03 up 1 day, 15:42,  3 users,  load average: 0.00, 0.00, 0.00
221  20:45:13 up 1 day, 15:56,  6 users,  load average: 1.00, 1.00, 1.00
214  21:00:03 up 1 day, 16:14,  0 users,  load average: 0.00, 0.00, 0.00
202  21:15:03 up 1 day, 16:33,  3 users,  load average: 0.39, 0.26, 0.14
223  21:30:03 up 1 day, 16:40,  2 users,  load average: 0.08, 0.04, 0.06
216  21:45:03 up 1 day, 16:59,  0 users,  load average: 0.00, 0.02, 0.00
231  22:00:03 up 1 day, 17:07,  2 users,  load average: 0.00, 0.00, 0.00
219  22:15:03 up 1 day, 17:27,  2 users,  load average: 0.00, 0.02, 0.02
206  22:30:03 up 1 day, 17:46,  3 users,  load average: 0.43, 0.35, 0.17
213  22:45:03 up 1 day, 17:59,  1 user,  load average: 1.06, 1.17, 1.15
202  23:00:13 up 1 day, 18:18,  2 users,  load average: 0.20, 0.05, 0.02
201  23:15:03 up 1 day, 18:34, 11 users,  load average: 0.00, 0.00, 0.00
220  23:30:03 up 1 day, 18:41,  2 users,  load average: 0.00, 0.00, 0.00
219  23:45:03 up 1 day, 18:57,  0 users,  load average: 0.00, 0.00, 0.00
236  00:00:03 up 43 days, 17:00,  2 users,  load average: 0.00, 0.00, 0.00
220  00:15:13 up 1 day, 19:27,  2 users,  load average: 0.08, 0.02, 0.01
233  00:30:12 up 1 day, 19:37,  3 users,  load average: 0.00, 0.03, 0.09
202  00:45:02 up 1 day, 20:03,  1 user,  load average: 0.00, 0.00, 0.00
219  01:00:02 up 1 day, 20:12,  0 users,  load average: 0.00, 0.00, 0.00
229  01:15:12 up 1 day, 20:24,  0 users,  load average: 1.20, 1.06, 1.02
235  01:30:13 up 1 day, 20:37,  1 user,  load average: 0.15, 0.08, 0.06
205  01:45:03 up 1 day, 21:02,  0 users,  load average: 0.00, 0.00, 0.00
202  02:00:02 up 1 day, 21:18,  0 users,  load average: 0.03, 0.03, 0.02
214  02:15:13 up 1 day, 21:29,  0 users,  load average: 0.00, 0.00, 0.00
208  02:30:13 up 1 day, 21:46,  0 users,  load average: 0.07, 0.02, 0.00
212  02:45:13 up 1 day, 21:59,  0 users,  load average: 0.41, 0.36, 0.19
215  03:00:02 up 1 day, 22:13,  1 user,  load average: 0.00, 0.00, 0.00
205  03:15:13 up 1 day, 22:32,  0 users,  load average: 0.00, 0.00, 0.00
234  03:30:03 up 1 day, 22:37,  0 users,  load average: 0.88, 0.25, 0.09
225  03:45:02 up 1 day, 22:55,  0 users,  load average: 0.15, 0.13, 0.06
211  04:00:02 up 1 day, 23:15,  0 users,  load average: 0.34, 0.15, 0.05
236  04:15:12 up 43 days, 21:15,  2 users,  load average: 0.00, 0.00, 0.00
216  04:30:13 up 1 day, 23:44,  0 users,  load average: 0.00, 0.08, 0.10
207  04:45:12 up 2 days, 1 min,  0 users,  load average: 0.00, 0.00, 0.00
